avg_score,score_var,num_dests,avg_routes,num_turns,train_turns,build_turns,dest_turns,path_changes,clutter,route_ints,city_cov
62.4,457.84,36,4.333333333333333,196,0.6479591836734694,0.33163265306122447,0.02040816326530612,19.6,12.444444444444445,3.641025641025641,0.011859313799784733
56.0,602.0,36,4.333333333333333,192,0.6302083333333334,0.3541666666666667,0.015625,12.0,12.444444444444445,3.641025641025641,0.011859313799784733
64.8,195.76,36,4.333333333333333,204,0.6372549019607843,0.35294117647058826,0.00980392156862745,22.8,12.444444444444445,3.641025641025641,0.011859313799784733
82.2,486.96000000000004,36,4.333333333333333,200,0.65,0.345,0.005,4.8,12.444444444444445,3.641025641025641,0.011859313799784733
75.8,837.7599999999999,36,4.333333333333333,198,0.6414141414141414,0.3434343434343434,0.015151515151515152,7.6,12.444444444444445,3.641025641025641,0.011859313799784733
84.4,251.44,36,4.333333333333333,198,0.6414141414141414,0.3383838383838384,0.020202020202020204,8.0,12.444444444444445,3.641025641025641,0.011859313799784733
82.2,966.96,36,4.333333333333333,196,0.6479591836734694,0.34183673469387754,0.01020408163265306,11.6,12.444444444444445,3.641025641025641,0.011859313799784733
75.0,324.4,36,4.333333333333333,196,0.6428571428571429,0.34183673469387754,0.015306122448979591,12.8,12.444444444444445,3.641025641025641,0.011859313799784733
62.2,130.56,36,4.333333333333333,181,0.6574585635359116,0.3370165745856354,0.0055248618784530384,6.8,12.444444444444445,3.641025641025641,0.011859313799784733
48.0,781.2,36,4.333333333333333,189,0.6296296296296297,0.35978835978835977,0.010582010582010581,7.4,12.444444444444445,3.641025641025641,0.011859313799784733
74.4,233.44,36,4.333333333333333,208,0.6298076923076923,0.3557692307692308,0.014423076923076924,9.2,12.444444444444445,3.641025641025641,0.011859313799784733
92.4,95.43999999999998,36,4.333333333333333,198,0.6464646464646465,0.3333333333333333,0.020202020202020204,7.6,12.444444444444445,3.641025641025641,0.011859313799784733
92.2,291.36,36,4.333333333333333,165,0.6242424242424243,0.3696969696969697,0.006060606060606061,0.8,12.444444444444445,3.641025641025641,0.011859313799784733
58.4,103.43999999999998,36,4.333333333333333,190,0.6473684210526316,0.34210526315789475,0.010526315789473684,8.4,12.444444444444445,3.641025641025641,0.011859313799784733
74.8,866.5600000000001,36,4.333333333333333,189,0.6613756613756614,0.3386243386243386,0.0,9.4,12.444444444444445,3.641025641025641,0.011859313799784733
81.2,544.96,36,4.333333333333333,203,0.645320197044335,0.3399014778325123,0.014778325123152709,6.4,12.444444444444445,3.641025641025641,0.011859313799784733
